text,label
ghar ke bahar kachra ka dher laga hua hai,waste
society ka dustbin roz overflow ho jata hai,waste
kachra uthane wali gaadi teen din se nahi aayi,waste
gali ke kone par kooda jama ho raha hai,waste
open plot me log roz garbage dump karte hain,waste
bazaar ke peeche kachra phenka ja raha hai,waste
sadak par plastic aur wrappers bikhre pade hain,waste
drain me kachra jam hone se paani ruk gaya,waste
kachra jalane se pura area dhue se bhar gaya,waste
public bin ka dhakkan toot gaya hai,waste
kachre ki wajah se bahut tez badboo aa rahi hai,waste
footpath par kooda phenka gaya hai,waste
construction ka malba sadak par pada hai,waste
safai karamchari area me dikhte hi nahi,waste
kachra collection ka time fix nahi hai,waste
kachra truck aake bina uthaye chala gaya,waste
society gate par garbage bags phat gaye hain,waste
kachra na uthne se makkhiyan badh gayi hain,waste
kachra segregate karke bhi mix kar diya gaya,waste
nala kachre se pura block ho gaya hai,waste
community bin mahino se saaf nahi hua,waste
kachra uthane ke baad aadha sadak par gir jata hai,waste
kachra collection point bahut door bana diya gaya,waste
open dumping raat ko chupke se hoti hai,waste
kachra safai ke baad bhi wapas jama ho jata hai,waste
plastic bottles aur cans har jagah padi hain,waste
kachra removal ki complaint par koi action nahi,waste
public park ke bahar garbage dump ho raha hai,waste
gali me roz naya kooda jama milta hai,waste
kachra gaadi sirf hafte me ek baar aati hai,waste
dustbin relocate karne ki zarurat hai,waste
roadside par food waste sad raha hai,waste
kachra se machhar aur keede badh rahe hain,waste
recycling ke liye alag dabba available nahi hai,waste
kachra jalane se saans lene me dikkat hoti hai,waste
kachra uthane wala staff time par nahi aata,waste
gali ke mod par hamesha kooda pada rehta hai,waste
kachra bags phat kar sadak par fail gaye hain,waste
illegal garbage dumping ke liye koi rok nahi,waste
kachra collection vehicle kharab ho gaya hai,waste
kachra ke paas stray dogs kooda faila dete hain,waste
society ke peeche permanent garbage spot ban gaya,waste
kachra dabba hamesha khula rehta hai,waste
kachra se gutter choke ho gaya hai,waste
kachra ke dher se badboo ghar tak aati hai,waste
kachra pick up ke baad safai nahi hoti,waste
kachra truck route skip kar deta hai,waste
public dustbin capacity se chhota hai,waste
kachra jalane par rok nahi lagti,waste
kachra removal request pending dikh rahi hai,waste
kachra ki wajah se gali me chalna mushkil,waste
kachra ke aas paas suar aur janwar ghoomte hain,waste
kachra pile road ke beech tak fail gaya hai,waste
kachra safai sirf main road tak hoti hai,waste
kachra ke paas paani jama ho kar badboo deta hai,waste
kachra se related complaints ignore ho rahi hain,waste
kachra collection staff protective gear nahi pehenta,waste
kachra dumping se area ka view kharab ho gaya,waste
kachra hatane ke liye extra bins chahiye,waste
kachra collection ke baad bhi plastic reh jata hai,waste
kachra se school ke bachche disturb hote hain,waste
kachra ke dher par log aur kooda phenkte hain,waste
kachra uthane me bahut deri lagti hai,waste
kachra se gali me infection ka khatra hai,waste
kachra hatane ke baad disinfect nahi kiya jata,waste
kachra ke paas khada rehna mushkil ho gaya,waste
kachra ki smell se log bimar pad rahe hain,waste
kachra collection timing display nahi hoti,waste
kachra dump hone se nali ka paani bahar aa gaya,waste
kachra jalane se pollution badh raha hai,waste
kachra management system bilkul fail lag raha,waste
kachra uthane ke liye koi alternate arrangement nahi,waste
kachra ka dher din ba din bada hota ja raha,waste
kachra ke paas parking karna unsafe lagta,waste
kachra pickup ke liye helpline respond nahi karti,waste
kachra hatane ke liye crane ki zarurat hai,waste
kachra collection vehicle bahut der se aata,waste
kachra ke paas rehne wale log pareshan hain,waste
kachra area me saaf safai ki turant zarurat hai,waste
ghar ke tap me paani bilkul nahi aa raha,water
subah ki paani supply aaj band rahi,water
bahut kam pressure se paani aa raha hai,water
pipeline se lagataar leak ho raha hai,water
tank me paani bhar hi nahi raha,water
jal board ka tanker time par nahi aaya,water
tap kholne par sirf hawa nikalti hai,water
paani ka rang halka peela lag raha hai,water
ghar tak paani ki supply pahunch nahi rahi,water
motor chalane par bhi paani nahi aata,water
overhead tank roz khali ho jata hai,water
paani me bahut tez badboo aa rahi hai,water
pipe joint se paani tapak tapak gir raha hai,water
water meter reading achanak bahut badh gayi,water
supply sirf kuch minute ke liye aati hai,water
ghar ke taps me alag alag pressure aa raha hai,water
jal board ki helpline lag hi nahi rahi,water
paani ki timing bina bataye badal di gayi,water
filter ke baad bhi paani ganda dikh raha hai,water
line me air lock hone se flow ruk jata hai,water
ground tank me paani jama hi nahi hota,water
pipe burst hone se sadak toot gayi hai,water
tap se mitti mila hua paani aa raha hai,water
tank overflow hone ke baad bhi supply band,water
ghar ka kaam paani ki kami se ruk gaya,water
roz sirf aadha ghanta paani milta hai,water
paani ka pressure upar ke floors tak nahi pahuchta,water
booster pump chalane par bhi farq nahi padta,water
borewell ka paani bahut ganda aa raha hai,water
paani ka taste ajeeb aur khara lag raha hai,water
pipeline repair ke baad bhi leak band nahi hua,water
jal board se complaint par koi jawab nahi,water
ghar me do din se paani nahi aaya,water
paani aate hi turant chala jata hai,water
supply irregular aur unpredictable ho gayi hai,water
tank ka float valve kharab ho gaya hai,water
water connection bina notice ke band kar diya,water
tap se brown color ka paani aa raha hai,water
overhead tank me paani pahunch hi nahi raha,water
water tanker ki bahut zyada zarurat hai,water
ghar ke bathroom me paani ki line dry hai,water
paani me zyada chlorine ki smell hai,water
motor chalate hi supply ruk jati hai,water
ghar ke taps se awaaz aati par paani nahi,water
paani me oily layer tairti hui dikh rahi hai,water
overhead tank ko saaf karne ki zarurat hai,water
jal board ka number hamesha busy rehta hai,water
supply sirf raat ko aati hai din me nahi,water
water pressure achanak zero ho jata hai,water
pipe se paani ki boonde hi aa rahi hain,water
paani ki quality test karani zaruri lagti hai,water
ghar ke neeche pipeline toot kar khuli padi hai,water
tank bharte hi paani turant leak ho jata hai,water
ghar ke taps me bahut tez hawa aa rahi hai,water
paani ki supply roz delay se shuru hoti hai,water
paani me safed jhaag dikh rahi hai,water
borewell pump jal gaya lagta hai,water
ground water level bahut neeche chala gaya,water
ghar me paani ki line me rust aa gaya hai,water
paani aane ka koi fixed schedule nahi,water
jal board ka tanker area skip kar gaya,water
supply aate hi meter tez ghumne lagta hai,water
pipe se seepage ho kar diwar gili ho gayi,water
ghar ke kitchen tap me paani bilkul band hai,water
overhead tank overflow hone par bhi leak hota hai,water
ghar me paani ki smell se use mushkil hai,water
paani ka flow kabhi tez kabhi bahut slow,water
water supply repair ka kaam adhura chhod diya,water
tap kholne par brown particles girte hain,water
supply me sewer ka paani mix lagta hai,water
ghar tak tanker ka paani pahunch nahi paaya,water
paani ki wajah se ghar ke kaam ruk gaye,water
supply sirf weekend par aati hai,water
jal board ki complaint pending hi reh gayi,water
ghar me paani store karna mushkil ho gaya,water
pipe burst hone se aas paas paani bhar gaya,water
ghar ke taps me bilkul pressure nahi bacha,water
paani me mitti aur ret jaisa feel hota hai,water
tank khali hone par bhi refill nahi hota,water
public toilet bahut ganda pada hai,sanitation
toilet ka flush kaam nahi kar raha,sanitation
sewer line choke hone se paani wapas aa raha,sanitation
gutter overflow ho kar sadak par aa gaya,sanitation
nala mahino se saaf nahi kiya gaya,sanitation
drainage system poori tarah jam ho gaya,sanitation
sewage ki tez badboo gali me fail rahi hai,sanitation
toilet me paani jama ho kar khada rehta hai,sanitation
open sewer line se khatra bana hua hai,sanitation
sewage sadak par beh kar traffic rok raha hai,sanitation
public washroom use karne layak nahi bacha,sanitation
drain ka paani gharon ke paas jama ho raha,sanitation
toilet cleaning staff roz absent rehta hai,sanitation
nali ke kinare chalna mushkil ho gaya,sanitation
sewer gas ki smell ghar tak aa rahi hai,sanitation
toilet ka darwaza toot kar latak raha hai,sanitation
drain cover hilta hai aur girne ka darr hai,sanitation
nala overfill ho kar park me ghus gaya,sanitation
toilet me handwash aur soap available nahi,sanitation
sewage leakage se gali ki safai kharab ho gayi,sanitation
gutter ka dhakkan gayab hai aur khula pada hai,sanitation
drainage line repair ki turant zarurat hai,sanitation
toilet floor par hamesha paani bhara rehta,sanitation
